test 115: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45142
test 116: no_error_count: 11950, error_count: 244, ARE: 1.2792330687151678, counter_report: 44957
test 117: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45932
test 118: no_error_count: 12114, error_count: 80, ARE: 1.5096652104025023, counter_report: 45487
test 119: no_error_count: 12002, error_count: 192, ARE: 1.4975866394405244, counter_report: 44757
test 120: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45600
test 121: no_error_count: 12162, error_count: 32, ARE: 1.4600081731505141, counter_report: 44902
test 122: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45624
test 123: no_error_count: 12186, error_count: 8, ARE: 1.362732387009481, counter_report: 45524
test 124: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45073
test 125: no_error_count: 5800, error_count: 6394, ARE: 1.7947063762567106, counter_report: 43140
test 126: no_error_count: 12154, error_count: 40, ARE: 1.2865309028657481, counter_report: 45352
test 127: no_error_count: 12148, error_count: 46, ARE: 1.3000781382702429, counter_report: 45306
test 128: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46099
test 129: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45781
test 130: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45270
test 131: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46110
test 132: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46307
test 133: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46300
test 134: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45484
test 135: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45694
test 136: no_error_count: 12162, error_count: 32, ARE: 1.0970542101310103, counter_report: 44732
test 137: no_error_count: 12130, error_count: 64, ARE: 1.1758695498905583, counter_report: 45046
test 138: no_error_count: 12032, error_count: 162, ARE: 1.365120481285963, counter_report: 44507
test 139: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45599
test 140: no_error_count: 12178, error_count: 16, ARE: 1.2988628680930905, counter_report: 45962
test 141: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45943
test 142: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45737
test 143: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46081
test 144: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 44730
test 145: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45327
test 146: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45707
test 147: no_error_count: 12170, error_count: 24, ARE: 1.0896310975962435, counter_report: 45849
test 148: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45555
test 149: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46507
test 150: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45343
